STDEV,Strain,DESeq
NCU12028,NCU05142,NCU06045
NCU04202,NCU09656,NCU03413
NCU16729,NCU02326,NCU09553
NCU05229,NCU00655,NCU06974
NCU09474,NCU06543,NCU03362
NCU05757,NCU05594,NCU07738
NCU07585,NCU01905,NCU00619
NCU01975,NCU07452,NCU01689
NCU03752,NCU04932,NCU07958
NCU07138,NCU06125,NCU01521
NCU07049,NCU02291,NCU05834
NCU07915,NCU06655,NCU03087
NCU07232,NCU11278,NCU02523
NCU00299,NCU08518,NCU07354
NCU04526,NCU10538,NCU04701
NCU09421,NCU01041,NCU09495
NCU01904,NCU09647,NCU04342
NCU08568,NCU06018,NCU09816
NCU01877,NCU04854,NCU02192
NCU02064,NCU07298,NCU09053
NCU04735,NCU11041,NCU08227
NCU02335,NCU06131,NCU01759
NCU02480,NCU04801,NCU01957
NCU08943,NCU07891,NCU02520
NCU03749,NCU05964,NCU04741
NCU09599,NCU01373,NCU01196
NCU01061,NCU05756,NCU07851
NCU00864,NCU05104,NCU05669
NCU04655,NCU07064,NCU04510
NCU05488,NCU08671,NCU04301
NCU08133,NCU01573,NCU09532
NCU04304,NCU07448,NCU12152
NCU17137,NCU02227,NCU10285
NCU09099,NCU04419,NCU09141
NCU09035,NCU04556,NCU04218
NCU08549,NCU04443,NCU02930
NCU17268,NCU01652,NCU08146
NCU17270,NCU06613,NCU01506
NCU03078,NCU05668,NCU16860
NCU08026,NCU01195,NCU09611
NCU00175,NCU11395,NCU04803
NCU04613,NCU08447,NCU07017
NCU01585,NCU08872,NCU08760
NCU09911,NCU04025,NCU07927
NCU02713,NCU04539,NCU00975
NCU09947,NCU04823,NCU08092
NCU01989,NCU05916,NCU04923
NCU00360,NCU07112,NCU02798
NCU04401,NCU09350,NCU09390
NCU01233,NCU02302,NCU06326
NCU06977,NCU11342,NCU05764
NCU10067,NCU07034,NCU06150
NCU09036,NCU07604,NCU06471
NCU04109,NCU16496,NCU07846
NCU01511,NCU07140,NCU00030
NCU08018,NCU02597,NCU11186
NCU08330,NCU09538,NCU01107
NCU10270,NCU06773,NCU04914
NCU09959,NCU04168,NCU04676
NCU01735,NCU03347,NCU04596
NCU03803,NCU10051,NCU01900
NCU09491,NCU09971,NCU04244
NCU17100,NCU07253,NCU17041
NCU10006,NCU05499,NCU04791
NCU09719,NCU08669,NCU07474
NCU08456,NCU05060,NCU09596
NCU09600,NCU02042,NCU04899
NCU05345,NCU09864,NCU06490
NCU02340,NCU02712,NCU07394
NCU07661,NCU01692,NCU08250
NCU09519,NCU04499,NCU01093
NCU02018,NCU08790,NCU09783
NCU04996,NCU01032,NCU10292
NCU03884,NCU09470,NCU02116
NCU10012,NCU05143,NCU06694
NCU08269,NCU05855,NCU09195
NCU09043,NCU04421,NCU09160
NCU06127,NCU03231,NCU05616
NCU05341,NCU09904,NCU16698
NCU05448,NCU09402,NCU01419
NCU06448,NCU09311,NCU09570
NCU08057,NCU00130,NCU04825
NCU09119,NCU02549,NCU05068
NCU07991,NCU05387,NCU09054
NCU06577,NCU03755,NCU07201
NCU03003,NCU16370,NCU03736
NCU09821,NCU04734,NCU09855
NCU17267,NCU16890,NCU02540
NCU05571,NCU08154,NCU12067
NCU03617,NCU05883,NCU06717
NCU07586,NCU09237,NCU10595
NCU07904,NCU01065,NCU09041
NCU16972,NCU02126,NCU00838
NCU04487,NCU06658,NCU00227
NCU03909,NCU06387,NCU02162
NCU09617,NCU03513,NCU07107
NCU11264,NCU07271,NCU04727
NCU02395,NCU03153,NCU02097
NCU06043,NCU02479,NCU04086
NCU00867,NCU07959,NCU08827
NCU09403,NCU05304,NCU03296
NCU10055,NCU08953,NCU05037
NCU08433,NCU07860,NCU09345
NCU02071,NCU09151,NCU00839
NCU03569,NCU06783,NCU02924
NCU09306,NCU08793,NCU09775
NCU04016,NCU05156,NCU09568
NCU03851,NCU01769,NCU09058
NCU06348,NCU06497,NCU06936
